Designator,Mid X,Mid Y,Rotation,Layer
D1,-25.84,-38.965,90.0,bottom
D10,183.71,-38.965,90.0,bottom
D11,202.76,-38.965,90.0,bottom
D12,221.81,-38.965,90.0,bottom
D13,240.86,-38.965,90.0,bottom
D14,264.6725,-38.965,90.0,bottom
D15,283.7225,-38.965,90.0,bottom
D16,302.7725,-38.965,90.0,bottom
D17,-25.84,-68.465,90.0,bottom
D18,-6.79,-68.465,90.0,bottom
D19,12.26,-68.465,90.0,bottom
D2,12.26,-38.965,90.0,bottom
D20,31.31,-68.465,90.0,bottom
D21,50.36,-68.465,90.0,bottom
D22,69.41,-68.465,90.0,bottom
D23,88.46,-68.465,90.0,bottom
D24,107.51,-68.465,90.0,bottom
D25,126.56,-68.465,90.0,bottom
D26,145.61,-68.465,90.0,bottom
D27,164.66,-68.465,90.0,bottom
D28,183.71,-68.465,90.0,bottom
D29,202.76,-68.465,90.0,bottom
D3,31.31,-38.965,90.0,bottom
D30,230.66,-68.465,90.0,bottom
D31,264.6725,-68.465,90.0,bottom
D32,283.7225,-68.465,90.0,bottom
D33,302.7725,-68.465,90.0,bottom
D34,-21.2275,-86.465,90.0,bottom
D35,2.585,-86.465,90.0,bottom
D36,21.635,-86.465,90.0,bottom
D37,40.685,-86.465,90.0,bottom
D38,59.735,-86.465,90.0,bottom
D39,78.785,-86.465,90.0,bottom
D4,50.36,-38.965,90.0,bottom
D40,97.835,-86.465,90.0,bottom
D41,116.885,-86.465,90.0,bottom
D42,135.935,-86.465,90.0,bottom
D43,154.985,-86.465,90.0,bottom
D44,174.035,-86.465,90.0,bottom
D45,193.085,-86.465,90.0,bottom
D46,212.135,-86.465,90.0,bottom
D47,235.9475,-86.465,90.0,bottom
D48,264.5225,-86.465,90.0,bottom
D49,283.5725,-86.465,90.0,bottom
D5,69.41,-38.965,90.0,bottom
D50,302.6225,-86.465,90.0,bottom
D51,-18.8775,-105.965,90.0,bottom
D52,7.31625,-105.965,90.0,bottom
D53,26.36625,-105.965,90.0,bottom
D54,45.41625,-105.965,90.0,bottom
D55,64.46625,-105.965,90.0,bottom
D56,83.51625,-105.965,90.0,bottom
D57,102.56625,-105.965,90.0,bottom
D58,121.61625,-105.965,90.0,bottom
D59,140.66625,-105.965,90.0,bottom
D6,97.985,-38.965,90.0,bottom
D60,159.71625,-105.965,90.0,bottom
D61,178.76625,-105.965,90.0,bottom
D62,197.81625,-105.965,90.0,bottom
D63,228.66,-105.965,90.0,bottom
D64,-14.34,-124.965,90.0,bottom
D65,17.22875,-124.965,90.0,bottom
D66,36.27875,-124.965,90.0,bottom
D67,55.32875,-124.965,90.0,bottom
D68,74.37875,-124.965,90.0,bottom
D69,93.42875,-124.965,90.0,bottom
D7,117.035,-38.965,90.0,bottom
D70,112.47875,-124.965,90.0,bottom
D71,131.52875,-124.965,90.0,bottom
D72,150.57875,-124.965,90.0,bottom
D73,169.62875,-124.965,90.0,bottom
D74,188.67875,-124.965,90.0,bottom
D75,223.66,-124.965,90.0,bottom
D76,283.92875,-124.965,90.0,bottom
D77,-23.45875,-143.965,90.0,bottom
D78,0.35375,-143.965,90.0,bottom
D79,24.16625,-143.965,90.0,bottom
D8,136.085,-38.965,90.0,bottom
D80,95.60375,-143.965,90.0,bottom
D81,167.04125,-143.965,90.0,bottom
D82,190.85375,-143.965,90.0,bottom
D83,214.66625,-143.965,90.0,bottom
D84,238.47875,-143.965,90.0,bottom
D85,264.6725,-143.965,90.0,bottom
D86,283.7225,-143.965,90.0,bottom
D87,302.7725,-143.965,90.0,bottom
D9,155.135,-38.965,90.0,bottom
S1,-34.2525,-36.675,0.0,top
S10,175.2975,-36.675,0.0,top
S11,194.3475,-36.675,0.0,top
S12,213.3975,-36.675,0.0,top
S13,232.4475,-36.675,0.0,top
S14,256.26,-36.675,0.0,top
S15,275.31,-36.675,0.0,top
S16,294.36,-36.675,0.0,top
S17,-34.2525,-65.25,0.0,top
S18,-15.2025,-65.25,0.0,top
S19,3.8475,-65.25,0.0,top
S2,3.8475,-36.675,0.0,top
S20,22.8975,-65.25,0.0,top
S21,41.9475,-65.25,0.0,top
S22,60.9975,-65.25,0.0,top
S23,80.0475,-65.25,0.0,top
S24,99.0975,-65.25,0.0,top
S25,118.1475,-65.25,0.0,top
S26,137.1975,-65.25,0.0,top
S27,156.2475,-65.25,0.0,top
S28,175.2975,-65.25,0.0,top
S29,194.3475,-65.25,0.0,top
S3,22.8975,-36.675,0.0,top
S30,222.9225,-65.25,0.0,top
S31,256.26,-65.25,0.0,top
S32,275.31,-65.25,0.0,top
S33,294.36,-65.25,0.0,top
S34,-29.49,-84.3,0.0,top
S35,-5.6775,-84.3,0.0,top
S36,13.3725,-84.3,0.0,top
S37,32.4225,-84.3,0.0,top
S38,51.4725,-84.3,0.0,top
S39,70.5225,-84.3,0.0,top
S4,41.9475,-36.675,0.0,top
S40,89.5725,-84.3,0.0,top
